file_name,text,audiofile
Acoustic guitar_7ITwarmdyfI.wav,A spectrogram of acoustic guitar_7itwarmdyfi,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_7ITwarmdyfI.wav
Acoustic guitar_p1CtK4P7B-w.wav,A spectrogram of acoustic guitar_p1ctk4p7b-w,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_p1CtK4P7B-w.wav
Acoustic guitar_axqtExFY5-s.wav,A spectrogram of acoustic guitar_axqtexfy5-s,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_axqtExFY5-s.wav
Acoustic guitar_1o7iTDLNTFk.wav,A spectrogram of acoustic guitar_1o7itdlntfk,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_1o7iTDLNTFk.wav
Acoustic guitar_1JwoLPCIGhs.wav,A spectrogram of acoustic guitar_1jwolpcighs,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_1JwoLPCIGhs.wav
Acoustic guitar_HQ9HlWProm0.wav,A spectrogram of acoustic guitar_hq9hlwprom0,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_HQ9HlWProm0.wav
Acoustic guitar_j-TVVmVmygg.wav,A spectrogram of acoustic guitar_j-tvvmvmygg,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_j-TVVmVmygg.wav
Acoustic guitar_5pIdH6p3kuo.wav,A spectrogram of acoustic guitar_5pidh6p3kuo,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_5pIdH6p3kuo.wav
Acoustic guitar_JCxzqy4QcKY.wav,A spectrogram of acoustic guitar_jcxzqy4qcky,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_JCxzqy4QcKY.wav
Acoustic guitar_PkkhCW04O9k.wav,A spectrogram of acoustic guitar_pkkhcw04o9k,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_PkkhCW04O9k.wav
Acoustic guitar_AY_yCk4eTTI.wav,A spectrogram of acoustic guitar_ay_yck4etti,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_AY_yCk4eTTI.wav
Acoustic guitar_8UhdwnsckJ8.wav,A spectrogram of acoustic guitar_8uhdwnsckj8,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_8UhdwnsckJ8.wav
Acoustic guitar_yw6uqQQF5Ig.wav,A spectrogram of acoustic guitar_yw6uqqqf5ig,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_yw6uqQQF5Ig.wav
Acoustic guitar_drJaSu3AWhQ.wav,A spectrogram of acoustic guitar_drjasu3awhq,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_drJaSu3AWhQ.wav
Acoustic guitar_19Pp9QEw17U.wav,A spectrogram of acoustic guitar_19pp9qew17u,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_19Pp9QEw17U.wav
Acoustic guitar_CzHZNJEV-3o.wav,A spectrogram of acoustic guitar_czhznjev-3o,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_CzHZNJEV-3o.wav
Acoustic guitar_XoTJkok3FlY.wav,A spectrogram of acoustic guitar_xotjkok3fly,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_XoTJkok3FlY.wav
Acoustic guitar_kmZFn-CQ19A.wav,A spectrogram of acoustic guitar_kmzfn-cq19a,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_kmZFn-CQ19A.wav
Acoustic guitar_26HLgXWF-Co.wav,A spectrogram of acoustic guitar_26hlgxwf-co,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_26HLgXWF-Co.wav
Acoustic guitar_0S5zWt91Bwo.wav,A spectrogram of acoustic guitar_0s5zwt91bwo,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_0S5zWt91Bwo.wav
Acoustic guitar_ZVvX2-ldhvY.wav,A spectrogram of acoustic guitar_zvvx2-ldhvy,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_ZVvX2-ldhvY.wav
Acoustic guitar_XWVGQbfpA0k.wav,A spectrogram of acoustic guitar_xwvgqbfpa0k,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_XWVGQbfpA0k.wav
Acoustic guitar_S2yXmXUJ5xU.wav,A spectrogram of acoustic guitar_s2yxmxuj5xu,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_S2yXmXUJ5xU.wav
Acoustic guitar_15z-gbPxdXg.wav,A spectrogram of acoustic guitar_15z-gbpxdxg,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_15z-gbPxdXg.wav
Acoustic guitar_n3EeS2mVU5w.wav,A spectrogram of acoustic guitar_n3ees2mvu5w,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_n3EeS2mVU5w.wav
Acoustic guitar_-0SdAVK79lg.wav,A spectrogram of acoustic guitar_-0sdavk79lg,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_-0SdAVK79lg.wav
Acoustic guitar_LTG-uVV_6q0.wav,A spectrogram of acoustic guitar_ltg-uvv_6q0,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_LTG-uVV_6q0.wav
Acoustic guitar_4M0njWKFsME.wav,A spectrogram of acoustic guitar_4m0njwkfsme,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_4M0njWKFsME.wav
Acoustic guitar_c5NGOcNyF4g.wav,A spectrogram of acoustic guitar_c5ngocnyf4g,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_c5NGOcNyF4g.wav
Acoustic guitar_ET7yQfaiF_8.wav,A spectrogram of acoustic guitar_et7yqfaif_8,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_ET7yQfaiF_8.wav
Acoustic guitar_Mhvgz5AjV3U.wav,A spectrogram of acoustic guitar_mhvgz5ajv3u,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_Mhvgz5AjV3U.wav
Acoustic guitar_33LJ36nAozM.wav,A spectrogram of acoustic guitar_33lj36naozm,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_33LJ36nAozM.wav
Acoustic guitar_Hn46VuvS88Y.wav,A spectrogram of acoustic guitar_hn46vuvs88y,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_Hn46VuvS88Y.wav
Acoustic guitar_-5xOcMJpTUk.wav,A spectrogram of acoustic guitar_-5xocmjptuk,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_-5xOcMJpTUk.wav
Acoustic guitar_3OLeJZF4oI0.wav,A spectrogram of acoustic guitar_3olejzf4oi0,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_3OLeJZF4oI0.wav
Acoustic guitar_7xD_Ib3VS_w.wav,A spectrogram of acoustic guitar_7xd_ib3vs_w,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_7xD_Ib3VS_w.wav
Acoustic guitar_2K61zdPjAi8.wav,A spectrogram of acoustic guitar_2k61zdpjai8,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_2K61zdPjAi8.wav
Acoustic guitar_EBpa2CADNJA.wav,A spectrogram of acoustic guitar_ebpa2cadnja,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_EBpa2CADNJA.wav
Acoustic guitar_GW6pti04qIo.wav,A spectrogram of acoustic guitar_gw6pti04qio,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_GW6pti04qIo.wav
Acoustic guitar_5mut_FrB4As.wav,A spectrogram of acoustic guitar_5mut_frb4as,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_5mut_FrB4As.wav
Acoustic guitar_8UhdwnsckJ8.wav,A spectrogram of acoustic guitar_8uhdwnsckj8,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_8UhdwnsckJ8.wav
Acoustic guitar_7xD_Ib3VS_w.wav,A spectrogram of acoustic guitar_7xd_ib3vs_w,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_7xD_Ib3VS_w.wav
Acoustic guitar_PkkhCW04O9k.wav,A spectrogram of acoustic guitar_pkkhcw04o9k,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Acoustic guitar_PkkhCW04O9k.wav
