file_name,text,audiofile
Dog bark_WkU6zXSeKH8.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_WkU6zXSeKH8.png
Dog bark_fEO0SbAuBQs.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_fEO0SbAuBQs.png
Dog bark_6l8elU3VEBE.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_6l8elU3VEBE.png
Dog bark_Mmke73EQZ08.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_Mmke73EQZ08.png
Dog bark_8cDXwosw9nA.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_8cDXwosw9nA.png
Dog bark_Glc6Ekc67OE.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_Glc6Ekc67OE.png
Dog bark_EakI8v4Ztt4.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_EakI8v4Ztt4.png
Dog bark_FuTiynEpLpE.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_FuTiynEpLpE.png
Dog bark_VGpqLyx96Z8.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_VGpqLyx96Z8.png
Dog bark_Zy2LsyinGcY.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_Zy2LsyinGcY.png
Dog bark_9rwfy8B5EB8.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_9rwfy8B5EB8.png
Dog bark_y6tnyCHq6xE.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_y6tnyCHq6xE.png
Dog bark_FTYgwHJUkaY.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_FTYgwHJUkaY.png
Dog bark_nd78y2xIUuk.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_nd78y2xIUuk.png
Dog bark_P_dXuddk3fE.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_P_dXuddk3fE.png
Dog bark_RB9xMnuB59A.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_RB9xMnuB59A.png
Dog bark_CTBFPn_S5u0.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_CTBFPn_S5u0.png
Dog bark_2mJbGx5D-zA.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_2mJbGx5D-zA.png
Dog bark_h9OFJ5QSpAQ.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_h9OFJ5QSpAQ.png
Dog bark_yBukUnXhYnc.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_yBukUnXhYnc.png
Dog bark_5PbIH_kMyis.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_5PbIH_kMyis.png
Dog bark_k7SgT11PwXo.png,A spectrogram of dog bark,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Dog bark_k7SgT11PwXo.png
