file_name,text,audiofile
Snare drum_8fInAz_GICs.wav,A spectrogram of snare drum_8finaz_gics,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_8fInAz_GICs.wav
Snare drum_pLqa0cqsICA.wav,A spectrogram of snare drum_plqa0cqsica,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_pLqa0cqsICA.wav
Snare drum_kkjNpwNcMWI.wav,A spectrogram of snare drum_kkjnpwncmwi,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_kkjNpwNcMWI.wav
Snare drum_7NtM1MM76s0.wav,A spectrogram of snare drum_7ntm1mm76s0,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_7NtM1MM76s0.wav
Snare drum_ui6ERk-AySw.wav,A spectrogram of snare drum_ui6erk-aysw,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_ui6ERk-AySw.wav
Snare drum_KjJj5-HvSvQ.wav,A spectrogram of snare drum_kjjj5-hvsvq,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_KjJj5-HvSvQ.wav
Snare drum_gcdqffsCWI8.wav,A spectrogram of snare drum_gcdqffscwi8,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_gcdqffsCWI8.wav
Snare drum_oFyhlXb7uCE.wav,A spectrogram of snare drum_ofyhlxb7uce,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_oFyhlXb7uCE.wav
Snare drum_pwX5SArqGKU.wav,A spectrogram of snare drum_pwx5sarqgku,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_pwX5SArqGKU.wav
Snare drum_2gvyOxKuQPY.wav,A spectrogram of snare drum_2gvyoxkuqpy,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_2gvyOxKuQPY.wav
Snare drum_O8EMm4QJjeo.wav,A spectrogram of snare drum_o8emm4qjjeo,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_O8EMm4QJjeo.wav
Snare drum_h-3DrDQC62k.wav,A spectrogram of snare drum_h-3drdqc62k,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_h-3DrDQC62k.wav
Snare drum_8zGJ9N7c6pE.wav,A spectrogram of snare drum_8zgj9n7c6pe,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_8zGJ9N7c6pE.wav
Snare drum_FCvs17jk10A.wav,A spectrogram of snare drum_fcvs17jk10a,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_FCvs17jk10A.wav
Snare drum_nu_Bl8Pz6PE.wav,A spectrogram of snare drum_nu_bl8pz6pe,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_nu_Bl8Pz6PE.wav
Snare drum_xmaVWayBvaY.wav,A spectrogram of snare drum_xmavwaybvay,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_xmaVWayBvaY.wav
Snare drum_RI71ebbU0PQ.wav,A spectrogram of snare drum_ri71ebbu0pq,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_RI71ebbU0PQ.wav
Snare drum_kp5OxEzxuSg.wav,A spectrogram of snare drum_kp5oxezxusg,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_kp5OxEzxuSg.wav
Snare drum_djSu_1AUt-o.wav,A spectrogram of snare drum_djsu_1aut-o,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_djSu_1AUt-o.wav
Snare drum_vf3n40mDLHw.wav,A spectrogram of snare drum_vf3n40mdlhw,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_vf3n40mDLHw.wav
Snare drum_iMTHDuW_xKc.wav,A spectrogram of snare drum_imthduw_xkc,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_iMTHDuW_xKc.wav
Snare drum_PpamaOkNqoI.wav,A spectrogram of snare drum_ppamaoknqoi,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_PpamaOkNqoI.wav
Snare drum_EieK70X8lnw.wav,A spectrogram of snare drum_eiek70x8lnw,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_EieK70X8lnw.wav
Snare drum_3Yc7_n6mDsI.wav,A spectrogram of snare drum_3yc7_n6mdsi,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_3Yc7_n6mDsI.wav
Snare drum_yj4xorgrbV4.wav,A spectrogram of snare drum_yj4xorgrbv4,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_yj4xorgrbV4.wav
Snare drum_6og50XOZeIk.wav,A spectrogram of snare drum_6og50xozeik,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_6og50XOZeIk.wav
Snare drum_frqnZb8Ssjo.wav,A spectrogram of snare drum_frqnzb8ssjo,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_frqnZb8Ssjo.wav
Snare drum__miAGxDX5FM.wav,A spectrogram of snare drum__miagxdx5fm,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum__miAGxDX5FM.wav
Snare drum_xiN6XwZNEJo.wav,A spectrogram of snare drum_xin6xwznejo,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_xiN6XwZNEJo.wav
Snare drum_YSXrSxC68VM.wav,A spectrogram of snare drum_ysxrsxc68vm,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_YSXrSxC68VM.wav
Snare drum_-SD9DkKyOrY.wav,A spectrogram of snare drum_-sd9dkkyory,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Snare drum_-SD9DkKyOrY.wav
