file_name,text,audiofile
Train horn_Va1z0FaJZ9g.wav,A spectrogram of train horn_va1z0fajz9g,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_Va1z0FaJZ9g.wav
Train horn_ry7WSjD4nOM.wav,A spectrogram of train horn_ry7wsjd4nom,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_ry7WSjD4nOM.wav
Train horn_j2Kb0mdm7nE.wav,A spectrogram of train horn_j2kb0mdm7ne,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_j2Kb0mdm7nE.wav
Train horn_ZbfEpDs45Ek.wav,A spectrogram of train horn_zbfepds45ek,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_ZbfEpDs45Ek.wav
Train horn_if5kBcYKZ_I.wav,A spectrogram of train horn_if5kbcykz_i,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_if5kBcYKZ_I.wav
Train horn_zP_NEorPQnE.wav,A spectrogram of train horn_zp_neorpqne,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_zP_NEorPQnE.wav
Train horn_ArtL_qXq5Rk.wav,A spectrogram of train horn_artl_qxq5rk,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_ArtL_qXq5Rk.wav
Train horn_l5IEFoQ_BTQ.wav,A spectrogram of train horn_l5iefoq_btq,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_l5IEFoQ_BTQ.wav
Train horn_UZx7OAgRMRY.wav,A spectrogram of train horn_uzx7oagrmry,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_UZx7OAgRMRY.wav
Train horn_bigChhh4a2Y.wav,A spectrogram of train horn_bigchhh4a2y,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_bigChhh4a2Y.wav
Train horn_Jd6QyMP6Mtk.wav,A spectrogram of train horn_jd6qymp6mtk,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_Jd6QyMP6Mtk.wav
Train horn_DtdUYobU_EI.wav,A spectrogram of train horn_dtduyobu_ei,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_DtdUYobU_EI.wav
Train horn_Oc9o_IKJqRw.wav,A spectrogram of train horn_oc9o_ikjqrw,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_Oc9o_IKJqRw.wav
Train horn_sn9nx5PKbmA.wav,A spectrogram of train horn_sn9nx5pkbma,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_sn9nx5PKbmA.wav
Train horn_6QCcY4zycIg.wav,A spectrogram of train horn_6qccy4zycig,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_6QCcY4zycIg.wav
Train horn_d5sA37UOGgw.wav,A spectrogram of train horn_d5sa37uoggw,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_d5sA37UOGgw.wav
Train horn_acIL82JWyq4.wav,A spectrogram of train horn_acil82jwyq4,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_acIL82JWyq4.wav
Train horn_MNkQGlmeyK0.wav,A spectrogram of train horn_mnkqglmeyk0,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_MNkQGlmeyK0.wav
Train horn_kJCXjkQJ23A.wav,A spectrogram of train horn_kjcxjkqj23a,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_kJCXjkQJ23A.wav
Train horn_IyspmEUfytc.wav,A spectrogram of train horn_iyspmeufytc,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_IyspmEUfytc.wav
Train horn_LK4b2eJpy24.wav,A spectrogram of train horn_lk4b2ejpy24,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_LK4b2eJpy24.wav
Train horn_fvXl_s2jCJ4.wav,A spectrogram of train horn_fvxl_s2jcj4,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_fvXl_s2jCJ4.wav
Train horn_UjlMSYSx49k.wav,A spectrogram of train horn_ujlmsysx49k,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_UjlMSYSx49k.wav
Train horn_pTRYm_peqGA.wav,A spectrogram of train horn_ptrym_peqga,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_pTRYm_peqGA.wav
Train horn_pGaUuVZe0mQ.wav,A spectrogram of train horn_pgauuvze0mq,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_pGaUuVZe0mQ.wav
Train horn_8pAigLVDuns.wav,A spectrogram of train horn_8paiglvduns,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_8pAigLVDuns.wav
Train horn_0omVgdC33FQ.wav,A spectrogram of train horn_0omvgdc33fq,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_0omVgdC33FQ.wav
Train horn_E33luTTDMPg.wav,A spectrogram of train horn_e33luttdmpg,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_E33luTTDMPg.wav
Train horn_FOttjI3p1mM.wav,A spectrogram of train horn_fottji3p1mm,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_FOttjI3p1mM.wav
Train horn_uuvp0tkzPbs.wav,A spectrogram of train horn_uuvp0tkzpbs,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_uuvp0tkzPbs.wav
Train horn_ahct5yzUtdE.wav,A spectrogram of train horn_ahct5yzutde,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_ahct5yzUtdE.wav
Train horn_XKvLkIM8dck.wav,A spectrogram of train horn_xkvlkim8dck,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_XKvLkIM8dck.wav
Train horn_hlwuLJ3JfHc.wav,A spectrogram of train horn_hlwulj3jfhc,/home/ryan/diss/msc_diss/sdspeech/data/AudioSet/data/dataset/train/Train horn_hlwuLJ3JfHc.wav
