image,caption,audio
r1nicOVtvkQ.png,A woman talks nearby as water pours,./data/audiocaps/dataset/train/r1nicOVtvkQ.wav
UDGBjjwyaqE.png,Multiple clanging and clanking sounds,./data/audiocaps/dataset/train/UDGBjjwyaqE.wav
3eJ9RynJzP8.png,"The wind is blowing, insects are singing, and rustling occurs",./data/audiocaps/dataset/train/3eJ9RynJzP8.wav
3eK62q7SnVU.png,The wind is blowing and rustling occurs,./data/audiocaps/dataset/train/3eK62q7SnVU.wav
3eGXNIadwGk.png,Person is whistling,./data/audiocaps/dataset/train/3eGXNIadwGk.wav
3eNWJ4Hle6Y.png,The sizzling of food while a dish is clanking,./data/audiocaps/dataset/train/3eNWJ4Hle6Y.wav
3eQYsDrfsTc.png,Someone has a hiccup while typing,./data/audiocaps/dataset/train/3eQYsDrfsTc.wav
3eL37ZUN5S4.png,Aircraft engine hum with man and woman speaking,./data/audiocaps/dataset/train/3eL37ZUN5S4.wav
3eN7ujFJzXQ.png,Hissing followed by clanking dishes and speech,./data/audiocaps/dataset/train/3eN7ujFJzXQ.wav
pgeooj3u3CM.png,A woman is talking the whole time something is sprayed a few times in the middle,./data/audiocaps/dataset/train/pgeooj3u3CM.wav
pgl_pG7j7d8.png,A man talks nearby as water pours out of a faucet,./data/audiocaps/dataset/train/pgl_pG7j7d8.wav
3eSIVCoTR2I.png,Crackling noise precedes a fly buzzing,./data/audiocaps/dataset/train/3eSIVCoTR2I.wav
3eZrNSkyUmA.png,A dog whimpers quietly,./data/audiocaps/dataset/train/3eZrNSkyUmA.wav
1OIVJfQTGVk.png,Engine revving loudly,./data/audiocaps/dataset/train/1OIVJfQTGVk.wav
1OIm8vLHCwo.png,An adult female speaks and a cat meows,./data/audiocaps/dataset/train/1OIm8vLHCwo.wav
77gagnj481E.png,Child giving a speech and crowd clapping,./data/audiocaps/dataset/train/77gagnj481E.wav
77fnehVF7wE.png,A dog barks twice and then whimpers,./data/audiocaps/dataset/train/77fnehVF7wE.wav
1O662rM-u0E.png,A whoosh sound is heard loudly as a car revs its engines,./data/audiocaps/dataset/train/1O662rM-u0E.wav
1O7-QuhweZE.png,Children screaming in the background as the sound of water flowing by,./data/audiocaps/dataset/train/1O7-QuhweZE.wav
1O2vHreD6eI.png,"A motor vehicle engine is running, a decelerating buzzing occurs, mechanical whines occur, and the motor vehicle engine accelerates",./data/audiocaps/dataset/train/1O2vHreD6eI.wav
1O5u-mBU2JI.png,"A man speaking in a foreign language, can hear doves in the background",./data/audiocaps/dataset/train/1O5u-mBU2JI.wav
1OCyUeuv2-Q.png,Men speaking then sneezing,./data/audiocaps/dataset/train/1OCyUeuv2-Q.wav
1OI6GPNHhLg.png,A man speaks slowly and with strength,./data/audiocaps/dataset/train/1OI6GPNHhLg.wav
OWhT0Gs-_q8.png,Several explosions burst nearby as people grunt loudly,./data/audiocaps/dataset/train/OWhT0Gs-_q8.wav
ld9qe2J9Huk.png,Someone snores briefly,./data/audiocaps/dataset/train/ld9qe2J9Huk.wav
oy2b5i_4-20.png,A woman talking and then a cat meowing,./data/audiocaps/dataset/train/oy2b5i_4-20.wav
DJVEiFFUB6g.png,A woman talks while frying something,./data/audiocaps/dataset/train/DJVEiFFUB6g.wav
oxs8A0Cdwwc.png,Crashing waves and a gust of wind,./data/audiocaps/dataset/train/oxs8A0Cdwwc.wav
MDoHzN4CYYg.png,Humming and vibrating of a motor,./data/audiocaps/dataset/train/MDoHzN4CYYg.wav
kxZQJiOLSqE.png,Honking of a horn of a passing train,./data/audiocaps/dataset/train/kxZQJiOLSqE.wav
MDRJ8icmjgI.png,A domestic animal is snoring and breathing loudly,./data/audiocaps/dataset/train/MDRJ8icmjgI.wav
R8pcOO_A2uE.png,Someone whistles nearby,./data/audiocaps/dataset/train/R8pcOO_A2uE.wav
vfbOX5T8YDk.png,Steam hissing as a train runs slowly on railroad tracks as gears crank and rumble,./data/audiocaps/dataset/train/vfbOX5T8YDk.wav
Bals78LmH5w.png,Children speak and laugh with a man,./data/audiocaps/dataset/train/Bals78LmH5w.wav
RmJE9uVdgAk.png,A man yelling and ducks in the background,./data/audiocaps/dataset/train/RmJE9uVdgAk.wav
-5weqk40jaI.png,Strong wind against the microphone simultaneously with heavy rain.,./data/audiocaps/dataset/train/-5weqk40jaI.wav
7PFt6ML7enY.png,A child cries and yells and an adult speaks in response,./data/audiocaps/dataset/train/7PFt6ML7enY.wav
-62RXhX5GZk.png,A dog grunts and an adult male speaks,./data/audiocaps/dataset/train/-62RXhX5GZk.wav
-64ZmjOBlE8.png,Water being turned on and off,./data/audiocaps/dataset/train/-64ZmjOBlE8.wav
-65gZY_yF3o.png,Helicopter rotors drumming and squeaking bird,./data/audiocaps/dataset/train/-65gZY_yF3o.wav
-668dhzzDQE.png,Car engine sound in car race,./data/audiocaps/dataset/train/-668dhzzDQE.wav
-67q0yYR0zk.png,People in a small crowd are speaking and a dog barks,./data/audiocaps/dataset/train/-67q0yYR0zk.wav
-68677bCJWM.png,Distressed cat growling and hissing violently while woman laughs and talks,./data/audiocaps/dataset/train/-68677bCJWM.wav
-68L7q5JlL4.png,Wind against a microphone on a speeding car,./data/audiocaps/dataset/train/-68L7q5JlL4.wav
5sfQQb6HpSc.png,A whistle and another man speaks and the whistling stops.,./data/audiocaps/dataset/train/5sfQQb6HpSc.wav
5sWgFNwk5zY.png,Someone fires a gun with others talking in the background,./data/audiocaps/dataset/train/5sWgFNwk5zY.wav
5sTt2AMCjSA.png,A car is racing away very fast and its tires squeal a little,./data/audiocaps/dataset/train/5sTt2AMCjSA.wav
5sZnJLp9We4.png,A loud siren whizzes past,./data/audiocaps/dataset/train/5sZnJLp9We4.wav
5sXK2pdYAwg.png,A woman hiccups and then women laugh and speak,./data/audiocaps/dataset/train/5sXK2pdYAwg.wav
ogXzNVUU3Xk.png,"Coughing by woman and child, then woman and child speaking",./data/audiocaps/dataset/train/ogXzNVUU3Xk.wav
3qPzSfovVmk.png,Truck engine running then a dragging noise,./data/audiocaps/dataset/train/3qPzSfovVmk.wav
3qPBmioT8Fo.png,"A dog is whining and whimpering, and an adult male is speaking",./data/audiocaps/dataset/train/3qPBmioT8Fo.wav
og_JH9cxUeg.png,Small frogs croak and chirp,./data/audiocaps/dataset/train/og_JH9cxUeg.wav
3qA8qMYz3Xw.png,"A crowd is cheering and shouting, thumping occurs, an adult female speaks, and an adult male speaks",./data/audiocaps/dataset/train/3qA8qMYz3Xw.wav
3q94RIeQJ9Q.png,"An adult female speaks, tapping occurs, and a dog barks",./data/audiocaps/dataset/train/3q94RIeQJ9Q.wav
3qKKDuwStA8.png,A person is speaking and crumpling paper,./data/audiocaps/dataset/train/3qKKDuwStA8.wav
3qC6_t1bjjw.png,"Two adult females are speaking, a dog is panting, a squeak occurs, and whistling occurs",./data/audiocaps/dataset/train/3qC6_t1bjjw.wav
689OVglGxKE.png,A vehicle revs then explodes while a crowd cheers and an announcer exclaims,./data/audiocaps/dataset/train/689OVglGxKE.wav
