audiocap_id,youtube_id,error
11541,3eHYGSux1Ps,Download or conversion failure
5984,1OB2TC-aAqY,Download or conversion failure
5985,1OCv1wCGK-s,Download or conversion failure
82441,kZ7_b_VVumc,Download or conversion failure
97479,vvbK4KaEOTc,Download or conversion failure
82999,kxirwP8Idn0,Download or conversion failure
46131,MDSDhWhWfL8,Download or conversion failure
19971,7PBpJ4Uizfw,Download or conversion failure
16706,5seYj-vSnEc,Download or conversion failure
12015,3qNSaQnzWUs,Download or conversion failure
12014,3qKmsP6BPXM,Download or conversion failure
12017,3qOswVO4sb0,Download or conversion failure
12016,3qOK68-L2cU,Download or conversion failure
100012,xpF_Jeaj7cs,Download or conversion failure
64671,YkQ12wpHeUc,Download or conversion failure
100010,xpCI-rEY1kM,Download or conversion failure
17250,67qTV1MDXhc,Download or conversion failure
17253,67tVU2CeweE,Download or conversion failure
10708,3JLBP8VnukU,Download or conversion failure
9252,2hyT23nJm_4,Download or conversion failure
9253,2i-sTS4rNgs,Download or conversion failure
9251,2hxyWkenHI4,Download or conversion failure
19396,77eV2YFJwgc,Download or conversion failure
45443,LkQIhNz1o9Q,Download or conversion failure
54540,RmAsVtD8qzw,Download or conversion failure
19394,77_C3AMGp1k,Download or conversion failure
90313,qNxytjnLbOE,Download or conversion failure
43263,KLGJt-Q65RA,Download or conversion failure
13057,4I0SfHz97Ag,Download or conversion failure
13055,4Hz53AafH7s,Download or conversion failure
54178,RXNZ-0Wteno,Download or conversion failure
20259,7XSDamG_R38,Download or conversion failure
20254,7XChPEYFWpA,Download or conversion failure
40963,Is4oH0_g21U,Download or conversion failure
40961,Is0jFNep7kY,Download or conversion failure
29767,CEzwcZnypSY,Download or conversion failure
29761,CEgyXSAygiw,Download or conversion failure
29763,CEnhuZ5Rm_Q,Download or conversion failure
1177,-RMYdwOv3Mo,Download or conversion failure
16883,5yAi2mLckGE,Download or conversion failure
97930,wEDditLGJwg,Download or conversion failure
12833,4C2yBknu3ZM,Download or conversion failure
12832,4C-Abooz-OA,Download or conversion failure
12839,4C7zRL0dVgE,Download or conversion failure
8540,2QLhxtgqvU8,Download or conversion failure
92268,rt0-hh8NqSo,Download or conversion failure
50415,OzvXPl848dw,Download or conversion failure
54304,RbrSbC-bGY0,Download or conversion failure
