audiocap_id,youtube_id,error
91139,r1nicOVtvkQ,Download or conversion failure
58146,UDGBjjwyaqE,Download or conversion failure
11542,3eJ9RynJzP8,Download or conversion failure
11543,3eK62q7SnVU,Download or conversion failure
11546,3eNWJ4Hle6Y,Download or conversion failure
11544,3eL37ZUN5S4,Download or conversion failure
11545,3eN7ujFJzXQ,Download or conversion failure
89378,pgeooj3u3CM,Download or conversion failure
11548,3eSIVCoTR2I,Download or conversion failure
11549,3eZrNSkyUmA,Download or conversion failure
19399,77gagnj481E,Download or conversion failure
19398,77fnehVF7wE,Download or conversion failure
5982,1O662rM-u0E,Download or conversion failure
5983,1O7-QuhweZE,Download or conversion failure
5984,1OB2TC-aAqY,Download or conversion failure
82441,kZ7_b_VVumc,Download or conversion failure
97479,vvbK4KaEOTc,Download or conversion failure
49688,OWhT0Gs-_q8,Download or conversion failure
83899,ld9qe2J9Huk,Download or conversion failure
88395,oy2b5i_4-20,Download or conversion failure
46139,MDoHzN4CYYg,Download or conversion failure
82999,kxirwP8Idn0,Download or conversion failure
46131,MDSDhWhWfL8,Download or conversion failure
46130,MDRJ8icmjgI,Download or conversion failure
54544,RmJE9uVdgAk,Download or conversion failure
270,-5weqk40jaI,Download or conversion failure
19972,7PFt6ML7enY,Download or conversion failure
19971,7PBpJ4Uizfw,Download or conversion failure
274,-64ZmjOBlE8,Download or conversion failure
275,-65gZY_yF3o,Download or conversion failure
276,-668dhzzDQE,Download or conversion failure
16707,5sfQQb6HpSc,Download or conversion failure
16701,5sWgFNwk5zY,Download or conversion failure
16703,5sZnJLp9We4,Download or conversion failure
16702,5sXK2pdYAwg,Download or conversion failure
88023,ogXzNVUU3Xk,Download or conversion failure
12014,3qKmsP6BPXM,Download or conversion failure
12017,3qOswVO4sb0,Download or conversion failure
12016,3qOK68-L2cU,Download or conversion failure
12012,3qC6_t1bjjw,Download or conversion failure
17258,689OVglGxKE,Download or conversion failure
17259,68AJ_1alYNg,Download or conversion failure
100012,xpF_Jeaj7cs,Download or conversion failure
64671,YkQ12wpHeUc,Download or conversion failure
100010,xpCI-rEY1kM,Download or conversion failure
17251,67r_mSftdjk,Download or conversion failure
17252,67rvn9HIZsM,Download or conversion failure
17253,67tVU2CeweE,Download or conversion failure
10709,3JNjTAf04rc,Download or conversion failure
10708,3JLBP8VnukU,Download or conversion failure
9259,2i8w_CZEprk,Download or conversion failure
10703,3JAjNVImec4,Download or conversion failure
10701,3J9nGJ5dmsI,Download or conversion failure
10700,3J7NzRVaixM,Download or conversion failure
9250,2hxTX4mb0bY,Download or conversion failure
9251,2hxyWkenHI4,Download or conversion failure
101352,yuqiS8rSp64,Download or conversion failure
21614,8ClpqdlMMTE,Download or conversion failure
21617,8Cpu6HuZppw,Download or conversion failure
21611,8CdmbbBcx14,Download or conversion failure
21612,8Cex_va7-8U,Download or conversion failure
80275,ixaVHv5vqlw,Download or conversion failure
42089,JaFx0FqcMRo,Download or conversion failure
19396,77eV2YFJwgc,Download or conversion failure
45442,LkPH8_fJ7Ls,Download or conversion failure
45443,LkQIhNz1o9Q,Download or conversion failure
45440,LkNOOWFKHD8,Download or conversion failure
19394,77_C3AMGp1k,Download or conversion failure
48620,Nnt49h9kSuQ,Download or conversion failure
19392,77YX1V-mPcY,Download or conversion failure
19390,77VHwpyq6xo,Download or conversion failure
58072,U9ySkH80BU8,Download or conversion failure
48627,No4tP84-NvI,Download or conversion failure
62360,XASclzoqguI,Download or conversion failure
90314,qO0P57aZBiw,Download or conversion failure
43263,KLGJt-Q65RA,Download or conversion failure
82440,kZ6h5EYl6fs,Download or conversion failure
13058,4I2KlSyijz4,Download or conversion failure
13052,4HtkTDr342c,Download or conversion failure
13053,4HxIyosr-AM,Download or conversion failure
13051,4Hs1yZu1GAU,Download or conversion failure
13056,4HzAuSA8Syk,Download or conversion failure
13057,4I0SfHz97Ag,Download or conversion failure
54170,RX7gmpgfnYs,Download or conversion failure
33714,EN_D3UzTfqE,Download or conversion failure
54178,RXNZ-0Wteno,Download or conversion failure
20259,7XSDamG_R38,Download or conversion failure
20252,7XCSZi0rS5E,Download or conversion failure
20250,7X3i7llSK9U,Download or conversion failure
20256,7XKwZAmhdrg,Download or conversion failure
20257,7XL--db_qQ4,Download or conversion failure
40963,Is4oH0_g21U,Download or conversion failure
29767,CEzwcZnypSY,Download or conversion failure
29761,CEgyXSAygiw,Download or conversion failure
29763,CEnhuZ5Rm_Q,Download or conversion failure
1177,-RMYdwOv3Mo,Download or conversion failure
1176,-RMHRmd5utQ,Download or conversion failure
1173,-RKs4NoVRms,Download or conversion failure
23507,998RhGRlp1c,Download or conversion failure
23506,995vcjHHtZc,Download or conversion failure
16883,5yAi2mLckGE,Download or conversion failure
23502,98yzDuNZqjk,Download or conversion failure
1179,-ROt5_xhcyo,Download or conversion failure
27617,B9Hlx2G4ADc,Download or conversion failure
27615,B98GzVyBEH8,Download or conversion failure
27612,B9-LyMdFE4I,Download or conversion failure
97938,wEXFa9wRSn0,Download or conversion failure
59038,UrSXp3cd3tw,Download or conversion failure
97931,wEDtBaumjH8,Download or conversion failure
16881,5y4pi2ShzhY,Download or conversion failure
97746,w5xqAI6Ev40,Download or conversion failure
12833,4C2yBknu3ZM,Download or conversion failure
12830,4BwQL9lW7A4,Download or conversion failure
12836,4C6JkAoRyVk,Download or conversion failure
8545,2QZSUAQMHqk,Download or conversion failure
8544,2QXhTsNhzIQ,Download or conversion failure
12839,4C7zRL0dVgE,Download or conversion failure
8543,2QXBc5C7Ut0,Download or conversion failure
92260,rsfXfpnLfeE,Download or conversion failure
74016,ePDemSpE3Ho,Download or conversion failure
92267,rt-0CEbzL2k,Download or conversion failure
92265,rswivgQdpFA,Download or conversion failure
92268,rt0-hh8NqSo,Download or conversion failure
66504,_-sns7INCWo,Download or conversion failure
85179,mZRsCN0ygaM,Download or conversion failure
53634,R8z8J9klk70,Download or conversion failure
