,Name,Created,learning_rate,lr_warmup_steps,max_train_steps,adam_beta2,adam_weight_decay
0,audiocaps-10%-lora-sd1_5-lr1e4-48k-10kwarmup,2023-08-07T12:48:20.000Z,0.0001,10000,48000,0.999,0.01
1,audiocaps-10%-lora-sd1_5-lr1e3-116k-20kwarmup,2023-08-09T10:08:05.000Z,0.001,20000,116000,0.999,0.01
2,audiocaps-10%-lora-sd1_5-lr1e4-116k-20kwarmup,2023-08-09T14:36:53.000Z,0.0001,20000,116000,0.999,0.01
3,audiocaps-10%-lora-sd1_5-lr1e5-116k-20kwarmup,2023-08-10T01:24:45.000Z,1e-05,20000,116000,0.999,0.01
4,audiocaps-10%-lora-sd1_5-lr3e4-116k-20kwarmup,2023-08-12T18:41:47.000Z,0.0003,20000,116000,0.999,0.01
5,audiocaps-10%-lora-sd1_5-lr3e3-116k-16kwarmup,2023-08-12T20:20:00.000Z,0.003,16000,116000,0.999,0.01
6,audiocaps-10%-lora-sd1_5-lr1e3-252k-30kwarmup,2023-08-13T01:59:02.000Z,0.001,30000,252000,0.999,0.01
7,audiocaps-10%-lora-sd1_5-lr3e3-252k-60kwarmup,2023-08-14T01:26:04.000Z,0.003,60000,252000,0.999,0.01
8,audiocaps-10%-lora-sd1_5-lr3e4-252k-16kwarmup,2023-08-14T19:56:15.000Z,0.0003,16000,252000,0.999,0.01
9,audiocaps-10%-lora-sd1_5-lr3e3-252k-16kwarmup,2023-08-14T19:56:27.000Z,0.003,16000,252000,0.999,0.01
10,audiocaps-10%-lora-sd1_5-lr1e4-252k-16kwarmup,2023-08-14T19:59:26.000Z,0.0001,16000,252000,0.999,0.01
11,audiocaps-10%-lora-sd1_5-lr1e3-252k-32kwarmup,2023-08-14T20:05:17.000Z,0.003,32000,252000,0.999,0.01
12,audiocaps-10%-lora-sd1_5-lr1e4-252k-32kwarmup,2023-08-14T20:08:33.000Z,0.0001,32000,252000,0.999,0.01
13,audiocaps-10%-lora-sd1_5-lr3e3-252k-32kwarmup,2023-08-14T20:11:06.000Z,0.003,32000,252000,0.999,0.01
14,audiocaps-10%-lora-sd1_5-lr1e3-252k-16kwarmup,2023-08-14T20:15:08.000Z,0.001,16000,252000,0.999,0.01
16,audiocaps-10%-lora-sd1_5-lr7e4-252k-28kwarmup,2023-08-15T17:13:22.000Z,0.0007,28000,252000,0.999,0.01
17,audiocaps-10%-lora-sd1_5-lr5e4-252k-28kwarmup,2023-08-15T17:14:41.000Z,0.0005,28000,252000,0.999,0.01
19,audiocaps-10%-lora-sd1_5-lr7e4-375k-28kwarmup,2023-08-16T13:15:24.000Z,0.0007,28000,375000,0.999,0.01
20,audiocaps-10%-lora-sd1_5-lr5e4-375k-28kwarmup,2023-08-16T13:16:03.000Z,0.0005,28000,375000,0.999,0.01
21,audiocaps-10%-lora-sd1_5-lr7e4-375k-32kwarmup,2023-08-16T16:11:55.000Z,0.0007,32000,375000,0.999,0.01
22,audiocaps-10%-lora-sd1_5-lr5e4-375k-32kwarmup,2023-08-16T16:14:31.000Z,0.0005,32000,375000,0.999,0.01
23,audiocaps-10%-lora-sd1_5-lr1e4-375k-0kwarmup,2023-08-16T19:51:33.000Z,0.0003,0,375000,0.999,0.01
