,Name,Created,learning_rate,lr_warmup_steps,max_train_steps,adam_beta2,adam_weight_decay
24,audiocaps-10%-lora-sd1_5-lr5e4-25epochs+28kwarmup_0.99adam2,2023-08-17T22:46:08.000Z,0.0005,28000,152000,0.99,0.01
25,audiocaps-10%-lora-sd1_5-lr7e4-25epochs+28kwarmup_0.99adam2,2023-08-17T22:46:08.000Z,0.0007,28000,152000,0.99,0.01
26,audiocaps-10%-lora-sd1_5-lr7e4-25epochs+28kwarmup_3e2adamW,2023-08-17T22:46:13.000Z,0.0007,28000,152000,0.999,0.03
27,audiocaps-10%-lora-sd1_5-lr5e4-25epochs+28kwarmup_3e3adamW,2023-08-17T22:46:13.000Z,0.0005,28000,152000,0.999,0.003
28,audiocaps-10%-lora-sd1_5-lr5e4-25epochs+28kwarmup_3e2adamW,2023-08-17T22:46:14.000Z,0.0005,28000,152000,0.999,0.03
29,audiocaps-10%-lora-sd1_5-lr7e4-25epochs+28kwarmup_3e3adamW,2023-08-17T22:50:51.000Z,0.0007,28000,152000,0.999,0.003
30,audiocaps-10%-lora-sd1_5-lr7e4-25epochs+28kwarmup_3e3adamW_0.99adam2,2023-08-17T22:53:38.000Z,0.0007,28000,152000,0.99,0.003
31,audiocaps-10%-lora-sd1_5-lr5e4-25epochs+28kwarmup_3e3adamW_0.99adam2,2023-08-17T22:54:01.000Z,0.0005,28000,152000,0.99,0.03
32,audiocaps-10%-lora-sd1_5-lr7e4-25epochs+28kwarmup_3e2adamW_0.99adam2,2023-08-17T22:54:58.000Z,0.0007,28000,152000,0.99,0.03
33,audiocaps-10%-lora-sd1_5-lr5e4-25epochs+28kwarmup_3e3adamW_0.99adam2,2023-08-17T22:56:08.000Z,0.0005,28000,152000,0.99,0.003
34,audiocaps-10%-lora-sd1_5-lr1e3-25epochs+28kwarmup_3e2adamW,2023-08-18T16:02:48.000Z,0.001,28000,152000,0.999,0.03
35,audiocaps-10%-lora-sd1_5-lr1e3-25epochs+28kwarmup_0.99adam2,2023-08-18T16:02:57.000Z,0.001,28000,152000,0.99,0.01
36,audiocaps-10%-lora-sd1_5-lr1e3-25epochs+28kwarmup_3e2adamW_0.99adam2,2023-08-18T16:04:48.000Z,0.001,28000,152000,0.99,0.03
37,audiocaps-10%-lora-sd1_5-lr1e3-25epochs+28kwarmup_3e3adamW_0.99adam2,2023-08-18T16:04:48.000Z,0.001,28000,152000,0.99,0.003
38,audiocaps-10%-lora-sd1_5-lr1e4-25epochs+28kwarmup_3e2adamW,2023-08-18T16:05:59.000Z,0.0001,28000,152000,0.999,0.03
39,audiocaps-10%-lora-sd1_5-lr1e4-25epochs+28kwarmup_3e3adamW,2023-08-18T16:05:59.000Z,0.0001,28000,152000,0.999,0.003
40,audiocaps-10%-lora-sd1_5-lr1e3-25epochs+28kwarmup_3e3adamW,2023-08-18T16:08:40.000Z,0.001,28000,152000,0.999,0.003
41,audiocaps-10%-lora-sd1_5-lr1e4-25epochs+28kwarmup_3e2adamW_0.99beta2,2023-08-19T10:07:16.000Z,0.0001,28000,152000,0.99,0.01
42,audiocaps-10%-lora-sd1_5-lr1e4-25epochs+28kwarmup_3e3adamW_0.99beta2,2023-08-19T10:07:21.000Z,0.0001,28000,152000,0.99,0.003
43,audiocaps-10%-lora-sd1_5-lr1e4-25epochs+28kwarmup_3e2adamW_0.99beta2,2023-08-19T10:13:15.000Z,0.0001,28000,152000,0.99,0.03
44,audiocaps-10%-lora-sd1_5-lr3e3-25epochs+28kwarmup_3e3adamW_0.99beta2,2023-08-19T15:16:32.000Z,0.003,28000,152000,0.99,0.003
